33,Is there any collateral security required for PQBL?,Is there any collateral security required for a pre-qualified Business Loan?,क्या पूर्व-अर्हित व्यवसाय ऋण के लिए किसी संपार्श्विक सुरक्षा की आवश्यकता है?,पूर्व-अर्हित व्यवसाय ऋणसाठी कोणतीही संपार्श्विक सुरक्षा आवश्यक आहे का?,പ്രീ-ക്വാളിഫൈഡ് ബിസിനസ് ലോണിന് എന്തെങ്കിലും കൊളാറ്ററൽ സെക്യൂരിറ്റി ആവശ്യമുണ്ടോ?,முன் தகுதி பெற்ற வணிகக் கடனுக்கு ஏதேனும் இணைப் பாதுகாப்பு தேவையா?,کیا پری کوالیفائیڈ بزنس لون کے لیے کوئی کولیٹرل سیکیورٹی درکار ہے؟,প্রাক-যোগ্য ব্যবসায়িক ঋণের জন্য কি কোনো সমান্তরাল নিরাপত্তা প্রয়োজন?,প্ৰি-যোগ্যতাসম্পন্ন ব্যৱসায়িক ঋণৰ বাবে কোনো জামিন নিৰাপত্তাৰ প্ৰয়োজন আছেনে?,શું પ્રી-ક્વોલિફાઈડ બિઝનેસ લોન માટે કોઈ કોલેટરલ સિક્યોરિટી જરૂરી છે?,پری کوالیفائیڈ بزنس لون کے لیے کوئی کولیٹرل سیکیورٹی کی ضرورت ہے؟,ಪೂರ್ವ-ಅರ್ಹತೆಯ ವ್ಯಾಪಾರ ಸಾಲಕ್ಕೆ ಯಾವುದೇ ಮೇಲಾಧಾರ ಭದ್ರತೆ ಅಗತ್ಯವಿದೆಯೇ?,ପୂର୍ବ-ଯୋଗ୍ୟ ବ୍ୟବସାୟ ଋଣ ପାଇଁ କୌଣସି ବନ୍ଧକ ସୁରକ୍ଷା ଆବଶ୍ୟକ କି?,Hato don kano kano ka jingpynskhem kaba donkam na ka bynta ka Loan Kam kaba la pynkhreh lypa?,ਕੀ ਪ੍ਰੀ-ਕੁਆਲੀਫਾਈਡ ਬਿਜ਼ਨਸ ਲੋਨ ਲਈ ਕੋਈ ਜਮਾਂਦਰੂ ਸੁਰੱਖਿਆ ਦੀ ਲੋੜ ਹੈ?,ప్రీ-క్వాలిఫైడ్ బిజినెస్ లోన్ కోసం ఏదైనా కొలేటరల్ సెక్యూరిటీ అవసరమా?,पूर्व-अर्हितताय आशिल्ल्या वेवसायीक रिणा खातीर खंयचीय कोलेटरल सुरक्षा जाय?
34,• There is no collateral security requirement as the loan is to be covered mandatorily under CGTMSE and the charges is to be borne by the applicant.,"• There is no collateral security requirement, as the loan will be mandatorily covered under CGTMSE, with the charges to be borne by the applicant.","• कोई संपार्श्विक सुरक्षा आवश्यकता नहीं है, क्योंकि ऋण अनिवार्य रूप से सीजीटीएमएसई के तहत कवर किया जाएगा, जिसका शुल्क आवेदक द्वारा वहन किया जाएगा।","• कोणतीही संपार्श्विक सुरक्षा आवश्यकता नाही, कारण ऋण अनिवार्यपणे सीजीटीएमएसई अंतर्गत कव्हर केले जाईल, ज्याचे शुल्क अर्जदाराने भरले जातील.","• ലോൺ നിർബന്ധമായും സിജിടിഎംഎസ്ഇ-യുടെ കീഴിലായിരിക്കും, അതിനുള്ള ചാർജുകൾ അപേക്ഷകൻ വഹിക്കും എന്നതിനാൽ, കൊളാറ്ററൽ സെക്യൂരിറ്റി ആവശ്യകതകളൊന്നുമില്ല.","• கடனானது சிஜிடிஎம்எஸ்இ இன் கீழ் கட்டாயமாக உள்ளடக்கப்படும் என்பதால், பிணைய பாதுகாப்புத் தேவைகள் எதுவும் இல்லை, அதற்கான கட்டணங்கள் விண்ணப்பதாரரால் ஏற்கப்படும்.",• کوئی ضمانتی سیکورٹی کی ضرورت نہیں ہے، کیونکہ قرض لازمی طور پر سی جی ٹی ایم ایس ای کے تحت لیا جائے گا، جس کے چارجز درخواست گزار برداشت کرے گا۔,"• কোনো সমান্তরাল নিরাপত্তার প্রয়োজন নেই, কারণ ঋণটি বাধ্যতামূলকভাবে সিজিটিএমএসই-এর আওতায় থাকবে, যার জন্য চার্জ আবেদনকারী বহন করবে।","• কোনো জামিন নিৰাপত্তাৰ প্ৰয়োজনীয়তা নাই, কিয়নো ঋণটো বাধ্যতামূলকভাৱে চিজিটিএমএছইৰ অধীনত সামৰি লোৱা হ’ব, আৰু চাৰ্জ আবেদনকাৰীয়ে বহন কৰিব লাগিব।","• કોઈ કોલેટરલ સિક્યોરિટીની આવશ્યકતા નથી, કારણ કે લોન ફરજિયાતપણે સીજીટીએમએસઇ હેઠળ આવરી લેવામાં આવશે, જેના માટેના શુલ્ક અરજદાર દ્વારા ઉઠાવવામાં આવશે.",کوئی کولیٹرل سیکیورٹی کی ضرورت نہیں ہے، کیونکہ لون کو سی جی ٹی ایم ایس ای کے تحت لازمی طور پر کور کیا جائے گا، جس کے چارجز درخواست دہندہ کے ذمہ ہوں گے۔,"• ಯಾವುದೇ ಮೇಲಾಧಾರ ಭದ್ರತೆಯ ಅವಶ್ಯಕತೆಗಳಿಲ್ಲ, ಏಕೆಂದರೆ ಸಾಲವು ಸಿಜಿಟಿಎಮ್ಎಸ್ಇ ಅಡಿಯಲ್ಲಿ ಕಡ್ಡಾಯವಾಗಿ ಆವರಿಸಲ್ಪಡುತ್ತದೆ, ಅದರ ಶುಲ್ಕವನ್ನು ಅರ್ಜಿದಾರರು ಭರಿಸಬೇಕಾಗುತ್ತದೆ.","• କୌଣସି ବନ୍ଧକ ସୁରକ୍ଷା ଆବଶ୍ୟକତା ନାହିଁ, କାରଣ ସିଜିଟିଏମଏସଇ ଅଧୀନରେ ଋଣ ବାଧ୍ୟତାମୂଳକ ଭାବରେ ବହନ କରାଯିବ, ଯେଉଁ ଦେୟ ପାଇଁ ଆବେଦନକାରୀ ବହନ କରିବେ।","• Ym donkam ban ai jingpynskhem, namar ba ia ka ram yn siew da kaba pynbor da ka CGTMSE, ryngkat bad ki jingsiew ba dei ban kit da u nongaplai.","• ਕੋਈ ਜਮਾਂਦਰੂ ਸੁਰੱਖਿਆ ਦੀ ਲੋੜ ਨਹੀਂ ਹੈ, ਕਿਉਂਕਿ ਕਰਜ਼ਾ ਲਾਜ਼ਮੀ ਤੌਰ 'ਤੇ ਸੀਜੀਟੀਐਮਐਸਈ ਦੇ ਅਧੀਨ ਕਵਰ ਕੀਤਾ ਜਾਵੇਗਾ, ਜਿਸ ਦੇ ਖਰਚੇ ਬਿਨੈਕਾਰ ਦੁਆਰਾ ਸਹਿਣ ਕੀਤੇ ਜਾਣਗੇ।","• రుణం తప్పనిసరిగా సిజిటిఎమ్ఎస్ఇ కింద కవర్ చేయబడుతుంది కాబట్టి, ఎటువంటి అనుషంగిక భద్రత అవసరం లేదు, దీని కోసం ఛార్జీలు దరఖాస్తుదారుచే భరించబడతాయి.","• कोलेटरल सुरक्षाची गरज ना, कारण रीण सीजीटीएमएसई खाला सक्तीन आस्पावतले, जाचे शुल्क अर्जदारान घेवचे पडटले."
35,What is the Loan Tenure for PQBL?,What is the Loan Tenure for pre-qualified Business Loan?,पूर्व-अर्हित व्यवसाय ऋण के लिए ऋण अवधि क्या है?,पूर्व-अर्हित व्यवसाय ऋणसाठी ऋणचा कालावधी काय आहे?,പ്രീ-ക്വാളിഫൈഡ് ബിസിനസ് ലോണിനുള്ള ലോൺ കാലാവധി എത്രയാണ്?,முன் தகுதி பெற்ற வணிகக் கடனுக்கான கடன் காலம் என்ன?,پری کوالیفائیڈ بزنس لون کے لیے قرض کی مدت کیا ہے؟,প্রাক-যোগ্য ব্যবসায়িক ঋণের জন্য ঋণের মেয়াদ কত?,প্ৰাক-যোগ্যতাসম্পন্ন ব্যৱসায়িক ঋণৰ বাবে ঋণৰ সময়সীমা কিমান?,પ્રી-ક્વોલિફાઈડ બિઝનેસ લોન માટે લોનની મુદત શું છે?,پری کوالیفائیڈ بزنس لون کے لیے لون کی مدت کیا ہے؟,ಪೂರ್ವ-ಅರ್ಹತೆಯ ವ್ಯಾಪಾರ ಸಾಲಕ್ಕಾಗಿ ಸಾಲದ ಅವಧಿ ಎಷ್ಟು?,ପୂର୍ବ-ଯୋଗ୍ୟ ବ୍ୟବସାୟ ଋଣ ପାଇଁ କାର୍ଯ୍ୟକାଳ କ’ଣ?,Kaei ka por jong ka ram na ka bynta ka ram treikam ba la pynkhreh lypa?,ਪ੍ਰੀ-ਕੁਆਲੀਫਾਈਡ ਬਿਜ਼ਨਸ ਲੋਨ ਲਈ ਲੋਨ ਦੀ ਮਿਆਦ ਕੀ ਹੈ?,ప్రీ-క్వాలిఫైడ్ బిజినెస్ లోన్ కోసం లోన్ వ్యవధి ఎంత?,पूर्व पात्रताय वेवसायीक रिणा खातीर रिणाचो काळ कितलो आसता?
36,Tenure of the loan is as below;,"Tenure of the loan is as below;
","ऋण की अवधि इस प्रकार है;
","ऋणचा कालावधी खालीलप्रमाणे आहे;
","വായ്പയുടെ കാലാവധി ഇപ്രകാരമാണ്;
","கடன் காலம் பின்வருமாறு;
","قرض کی مدت درج ذیل ہے؛
","ঋণের মেয়াদ নিম্নরূপ;
",ঋণৰ কাৰ্যকাল তলৰ দৰেই;,"લોનની મુદત નીચે મુજબ છે;
",لون کی مدت مندرجہ ذیل کے مطابق ہے۔,"ಸಾಲದ ಅವಧಿಯು ಈ ಕೆಳಗಿನಂತಿರುತ್ತದೆ;
",ରିଣର କାର୍ଯ୍ୟକାଳ ନିମ୍ନଲିଖିତ ଭାବରେ ହେବ;,"Ka por jong ka ram ka long kumne harum;
","ਲੋਨ ਦੀ ਮਿਆਦ ਹੇਠ ਲਿਖੇ ਅਨੁਸਾਰ ਹੈ;
","రుణ కాలపరిమితి క్రింది విధంగా ఉంటుంది;
",रिणाचो काळ असो आसा;
,,,,,,,,,,,,,,,,,
Sheet2,,,,,,,,,,,,,,,,,
Sl No,Field Name,English,Hindi,Marathi,Malayalam,Tamil,Urdu,Bengali,Assamese,Gujarati,Kashmiri,Kannada,,KhaSI,Punjabi,Telegu,Konkani
1,Login to view your offer,Login to view your offer,अपना ऑफ़र देखने के लिए लॉगिन करें,तुमची ऑफर पाहण्यासाठी लॉगइन करा,നിങ്ങളുടെ ഓഫർ കാണാൻ ലോഗിൻ ചെയ്യുക,உங்கள் சலுகையைப் பார்க்க உள்நுழைக,اپنی پیشکش دیکھنے کے لیے لاگ ان کریں۔,আপনার অফার দেখতে লগইন করুন,"আপোনাৰ অফাৰ চাবলৈ লগইন কৰক।""",તમારી ઑફર જોવા માટે લૉગિન કરો,آفر دیکھنے کے لیے لاگ ان کریں,ನಿಮ್ಮ ಕೊಡುಗೆಯನ್ನು ವೀಕ್ಷಿಸಲು ಲಾಗಿನ್ ಮಾಡಿ,ଆପଣଙ୍କର ଅଫର୍ ଦେଖିବାକୁ ଲଗ୍ଇନ୍ କରନ୍ତୁ |,Login ban peit ia ka jingai jong phi .,ਆਪਣੀ ਪੇਸ਼ਕਸ਼ ਦੇਖਣ ਲਈ ਲੌਗਇਨ ਕਰੋ,మీ ఆఫర్‌ని వీక్షించడానికి లాగిన్ చేయండి,तुमची ऑफर पळोवपाक लॉग इन करात
2,Registered Mobile Number,Verify your mobile number with OTP,अपना मोबाइल संख्या ओटीपी से सत्यापित करें,तुमचा मोबाईल संख्या ओटीपी ने सत्यापित करा,ഒടിപി ഉപയോഗിച്ച് നിങ്ങളുടെ മൊബൈൽ നമ്പർ പരിശോധിച്ചുറപ്പിക്കുക,ஒடிபி மூலம் உங்கள் மொபைல் எண்ணைச் சரிபார்க்கவும்,او ٹی پی کے ساتھ اپنے موبائل نمبر کی تصدیق کریں۔,ওটিপি দিয়ে আপনার মোবাইল নম্বর যাচাই করুন,OTP ৰ সহায়ত আপোনাৰ মোবাইল নম্বৰ ভেৰিফাই কৰক,ઓટીપી વડે તમારો મોબાઈલ નંબર વેરીફાઈ કરો,اپنا موبائل نمبر او ٹی پی کے ساتھ تصدیق کریں,ಒಟಿಪಿ ಯೊಂದಿಗೆ ನಿಮ್ಮ ಮೊಬೈಲ್ ಸಂಖ್ಯೆಯನ್ನು ಪರಿಶೀಲಿಸಿ,ଓଟିପି ସହିତ ଆପଣଙ୍କର ମୋବାଇଲ୍ ନମ୍ବରକୁ ଯାଞ୍ଚ କରନ୍ତୁ |,Pynthikna ia u number mobile jong phi da ka OTP .,ਓਟੀਪੀ ਨਾਲ ਆਪਣੇ ਮੋਬਾਈਲ ਨੰਬਰ ਦੀ ਪੁਸ਼ਟੀ ਕਰੋ,ఒటిపితో మీ మొబైల్ నంబర్‌ను ధృవీకరించండి,ओटीपी वरवीं तुमचो मोबायल नंबर तपासात
3,An OTP will be sent to the entered mobile number,An OTP has been sent to the mobile number,मोबाइल संख्या पर एक ओटीपी भेजा गया है,मोबाईल संख्याावर ओटीपी पाठवण्यात आला आहे,മൊബൈൽ നമ്പറിലേക്ക് ഒരു ഒടിപി അയച്ചിട്ടുണ്ട്,மொபைல் எண்ணுக்கு ஒடிபி அனுப்பப்பட்டுள்ளது,موبائل نمبر پر ایک او ٹی پی بھیجا گیا ہے۔,মোবাইল নম্বরে একটি ওটিপি পাঠানো হয়েছে,মোবাইল নম্বৰত এটা অ’টিপি প্ৰেৰণ কৰা হৈছে,મોબાઈલ નંબર પર ઓટીપી મોકલવામાં આવ્યો છે,موبائل نمبر پر ایک او ٹی پی بھیجا گیا ہے,ಮೊಬೈಲ್ ಸಂಖ್ಯೆಗೆ ಒಟಿಪಿ ಕಳುಹಿಸಲಾಗಿದೆ,ଆପଣଙ୍କର ମୋବାଇଲ୍ ନମ୍ବରକୁ ଏକ ଓଟିପି ପଠାଯାଇଛି |,La phah ia ka OTP ha u number mobile 100 .,ਮੋਬਾਈਲ ਨੰਬਰ 'ਤੇ ਇੱਕ ਓਟੀਪੀ ਭੇਜਿਆ ਗਿਆ ਹੈ,మొబైల్ నంబర్‌కు ఒటిపి పంపబడింది,मोबायल क्रमांकाचेर ओटीपी धाडला
4,Review the Terms & conditions,Review the Terms & Conditions,नियम एवं शर्तों की समीक्षा करें,अटी आणि नियमांचे पुनरावलोकन करा,നിബന്ധനകളും വ്യവസ്ഥകളും അവലോകനം ചെയ്യുക,விதிமுறைகள் மற்றும் நிபந்தனைகளை மதிப்பாய்வு செய்யவும்,شرائط و ضوابط کا جائزہ لیں۔,নিয়ম ও শর্তাবলী পর্যালোচনা করুন,চৰ্ত আৰু নিয়মসমূহ পৰ্যালোচনা কৰক,નિયમો અને શરતોની સમીક્ષા કરો,شرائط و ضوابط کا جائزہ لیں,ನಿಯಮಗಳು ಮತ್ತು ಷರತ್ತುಗಳನ್ನು ಪರಿಶೀಲಿಸಿ,ସର୍ତ୍ତାବଳୀ ଏବଂ ଚୁକ୍ତିନାମାକୁ ସମୀକ୍ଷା କରନ୍ତୁ |,Peit bniah ia ki kyndon bad jingpynbeit,ਨਿਯਮਾਂ ਅਤੇ ਸ਼ਰਤਾਂ ਦੀ ਸਮੀਖਿਆ ਕਰੋ,నిబంధనలు మరియు షరతులను సమీక్షించండి,नेम आनी अटींचो पुनरावलोकन करचो
5,I accept all the terms and conditions related to Union Bank of India,I accept all the Terms and Conditions related to Union Bank of India.,मैं यूनियन बैंक ऑफ इंडिया से संबंधित सभी नियम और शर्तें स्वीकार करता हूं।,मी युनियन बँक ऑफ इंडियाच्या सर्व अटी व शर्ती स्वीकारतो.,യൂണിയൻ ബാങ്ക് ഓഫ് ഇന്ത്യയുടെ എല്ലാ നിബന്ധനകളും വ്യവസ്ഥകളും ഞാൻ അംഗീകരിക്കുന്നു.,யூனியன் பேங்க் ஆஃப் இந்தியாவின் அனைத்து விதிமுறைகளையும் நிபந்தனைகளையும் ஏற்கிறேன்.,میں یونین بینک آف انڈیا کے تمام شرائط و ضوابط کو قبول کرتا ہوں۔,আমি ইউনিয়ন ব্যাঙ্ক অফ ইন্ডিয়ার সমস্ত শর্তাবলী স্বীকার করি৷,ভাৰতীয় ইউনিয়ন বেংকৰ সৈতে জড়িত সকলো চৰ্ত আৰু নিয়ম মই মানি লওঁ।,હું યુનિયન બેંક ઓફ ઈન્ડિયાના તમામ નિયમો અને શરતો સ્વીકારું છું.,میں یونین بینک آف انڈیا سے متعلق تمام شرائط و ضوابط کو قبول کرتا/کرتی ہوں۔,ನಾನು ಯೂನಿಯನ್ ಬ್ಯಾಂಕ್ ಆಫ್ ಇಂಡಿಯಾದ ಎಲ್ಲಾ ನಿಯಮಗಳು ಮತ್ತು ಷರತ್ತುಗಳನ್ನು ಒಪ್ಪಿಕೊಳ್ಳುತ್ತೇನೆ.,ମୁଁ ଯୁନିୟନ ବ୍ୟାଙ୍କ ଅଫ୍ ଇଣ୍ଡିଆ ସହିତ ସମ୍ପର୍କିତ ସମସ୍ତ ସର୍ତ୍ତ ଏବଂ ନିୟମଗୁଡିକୁ ଗ୍ରହଣ କରେ |,Nga pdiang ia baroh ki kyndon ba iadei bad ka Union Bank of India.,ਮੈਂ ਯੂਨੀਅਨ ਬੈਂਕ ਆਫ਼ ਇੰਡੀਆ ਦੇ ਸਾਰੇ ਨਿਯਮਾਂ ਅਤੇ ਸ਼ਰਤਾਂ ਨੂੰ ਸਵੀਕਾਰ ਕਰਦਾ ਹਾਂ।,యూనియన్ బ్యాంక్ ఆఫ్ ఇండియా యొక్క అన్ని నిబంధనలు మరియు షరతులను నేను అంగీకరిస్తున్నాను.,युनियन बँक ऑफ इंडियाच्यो सगळ्यो नेम आनी अटी हांव मान्य करतां.
