Sl No,Field Name,English,Hindi,Marathi,Malayalam,Tamil,Urdu,Bengali,Assamese,Gujarati,Kashmiri,Kannada,Odiya,KhaSI,Punjabi,Telegu,Konkani
youNeedThisCodeForTransaction_hint,You would need this code for any transaction,You will need this code for all future transactions.,आपको भविष्य के सभी लेनदेन के लिए इस कोड की आवश्यकता होगी।,तुम्हाला भविष्यातील सर्व व्यवहारांसाठी या कोडची आवश्यकता असेल.,ഭാവിയിലെ എല്ലാ ഇടപാടുകൾക്കും നിങ്ങൾക്ക് ഈ കോഡ് ആവശ്യമാണ്.,எதிர்கால பரிவர்த்தனைகளுக்கு இந்தக் குறியீடு உங்களுக்குத் தேவைப்படும்.,آپ کو مستقبل کے تمام لین دین کے لیے اس کوڈ کی ضرورت ہوگی۔,ভবিষ্যতের সমস্ত লেনদেনের জন্য আপনার এই কোডের প্রয়োজন হবে।,ভৱিষ্যতৰ সকলো লেনদেনৰ বাবে আপুনি এই ক'ডৰ প্ৰয়োজন হ'ব।,તમને ભવિષ્યના તમામ વ્યવહારો માટે આ કોડની જરૂર પડશે.,آپ کو مستقبل کے تمام لین دین کے لئے اس کوڈ کی ضرورت ہوگی۔,ಭವಿಷ್ಯದ ಎಲ್ಲಾ ವಹಿವಾಟುಗಳಿಗೆ ನಿಮಗೆ ಈ ಕೋಡ್ ಅಗತ್ಯವಿದೆ.,ଭବିଷ୍ୟତର ସମସ୍ତ କାରବାର ପାଇଁ ଆପଣଙ୍କୁ ଏହି କୋଡ୍ ଦରକାର |,Phi donkam ia une u code na ka bynta baroh ki jingpyniaid kiba hadien.,ਤੁਹਾਨੂੰ ਭਵਿੱਖ ਦੇ ਸਾਰੇ ਲੈਣ-ਦੇਣ ਲਈ ਇਸ ਕੋਡ ਦੀ ਲੋੜ ਪਵੇਗੀ।,భవిష్యత్తులో జరిగే అన్ని లావాదేవీల కోసం మీకు ఈ కోడ్ అవసరం.,फुडल्या सगळ्या वेव्हारां खातीर तुमकां हो कोड जाय पडटलो.
enterTPin,Enter 4 digit TPIN,Please enter your 4-digit Transaction PIN (TPIN).,कृपया अपना 4-अंकीय लेनदेन पिन (टीपिन) दर्ज करें।,कृपया तुमचा 4-अंकी व्यवहार पिन (टीपिन) एंटर करा.,നിങ്ങളുടെ 4 അക്ക ഇടപാട് പിൻ (ടിപിന്) നൽകുക.,உங்கள் 4 இலக்க பரிவர்த்தனை பின்னை (டிபின்) உள்ளிடவும்.,براہ کرم اپنا 4 ہندسوں کا ٹرانزیکشن پن (ٹی پِن) درج کریں۔,অনুগ্রহ করে আপনার 4-সংখ্যার লেনদেনের পিন (টিপিন) লিখুন৷,অনুগ্ৰহ কৰি আপোনাৰ 4 অংকৰ লেনদেনৰ পিন (টিপিন) দিয়ক।,કૃપા કરીને તમારો 4-અંકનો વ્યવહાર પિન (ટીપિન) દાખલ કરો.,مہربانی کرکے اپنا 4 عددی ٹرانزیکشن پن (ٹیپن) درج کریں۔,ದಯವಿಟ್ಟು ನಿಮ್ಮ 4-ಅಂಕಿಯ ವಹಿವಾಟಿನ ಪಿನ್ (ಟಿಪಿನ್) ಅನ್ನು ನಮೂದಿಸಿ.,ଦୟାକରି ଆପଣଙ୍କର 4-ଅଙ୍କ ବିଶିଷ୍ଟ କାରବାର ପିନ (ଟିପିନ) ପ୍ରବେଶ କରନ୍ତୁ |,Sngewbha pynrung ia ka PIN (TPIN) jong phi kaba don 4 dak.,ਕਿਰਪਾ ਕਰਕੇ ਆਪਣਾ 4-ਅੰਕ ਦਾ ਲੈਣ-ਦੇਣ ਪਿੰਨ (ਟਿਪਿਨ) ਦਾਖਲ ਕਰੋ।,దయచేసి మీ 4-అంకెల లావాదేవీ పిన్ (టిపిన్)ని నమోదు చేయండి.,उपकार करून तुमचो 4 अंकांचो वेव्हार पिन (टीपिन) दाखयात.
enterTPin_hint,Enter 4 digit TPIN,Please enter your 4-digit Transaction PIN (TPIN).,कृपया अपना 4-अंकीय लेनदेन पिन (टीपिन) दर्ज करें।,कृपया तुमचा 4-अंकी व्यवहार पिन (टीपिन) एंटर करा.,നിങ്ങളുടെ 4 അക്ക ഇടപാട് പിൻ (ടിപിന്) നൽകുക.,உங்கள் 4 இலக்க பரிவர்த்தனை பின்னை (டிபின்) உள்ளிடவும்.,براہ کرم اپنا 4 ہندسوں کا ٹرانزیکشن پن (ٹی پِن) درج کریں۔,অনুগ্রহ করে আপনার 4-সংখ্যার লেনদেনের পিন (টিপিন) লিখুন৷,অনুগ্ৰহ কৰি আপোনাৰ 4 অংকৰ লেনদেনৰ পিন (টিপিন) দিয়ক।,કૃપા કરીને તમારો 4-અંકનો વ્યવહાર પિન (ટીપિન) દાખલ કરો.,مہربانی کرکے اپنا 4 عددی ٹرانزیکشن پن (ٹیپن) درج کریں۔,ದಯವಿಟ್ಟು ನಿಮ್ಮ 4-ಅಂಕಿಯ ವಹಿವಾಟಿನ ಪಿನ್ (ಟಿಪಿನ್) ಅನ್ನು ನಮೂದಿಸಿ.,ଦୟାକରି ଆପଣଙ୍କର 4-ଅଙ୍କ ବିଶିଷ୍ଟ କାରବାର ପିନ (ଟିପିନ) ପ୍ରବେଶ କରନ୍ତୁ |,Sngewbha pynrung ia ka PIN (TPIN) jong phi kaba don 4 dak.,ਕਿਰਪਾ ਕਰਕੇ ਆਪਣਾ 4-ਅੰਕ ਦਾ ਲੈਣ-ਦੇਣ ਪਿੰਨ (ਟਿਪਿਨ) ਦਾਖਲ ਕਰੋ।,దయచేసి మీ 4-అంకెల లావాదేవీ పిన్ (టిపిన్)ని నమోదు చేయండి.,उपकार करून तुमचो 4 अंकांचो वेव्हार पिन (टीपिन) दाखयात.
reenterTpin,Re-enter 4 digit TPIN,Please re-enter your 4-digit Transaction PIN (TPIN).,कृपया अपना 4-अंकीय लेनदेन पिन (टीपिन) पुनः दर्ज करें।,कृपया तुमचा 4-अंकी व्यवहार पिन (टीपिन) पुन्हा एंटर करा.,നിങ്ങളുടെ 4 അക്ക ഇടപാട് പിൻ (ടിപിന്) വീണ്ടും നൽകുക.,உங்கள் 4 இலக்க பரிவர்த்தனை பின்னை (டிபின்) மீண்டும் உள்ளிடவும்.,براہ کرم اپنا 4 ہندسوں کا ٹرانزیکشن پن (ٹی پِن) دوبارہ درج کریں۔,অনুগ্রহ করে আপনার 4-সংখ্যার লেনদেনের পিন (টিপিন) পুনরায় লিখুন৷,অনুগ্ৰহ কৰি আপোনাৰ 4 সংখ্যাৰ লেনদেনৰ পিন (টিপিন) পুনৰ প্ৰৱেশ কৰক।,કૃપા કરીને તમારો 4-અંકનો વ્યવહાર પિન (ટીપિન) ફરીથી દાખલ કરો.,مہربانی کرکے اپنا 4 عددی ٹرانزیکشن پن (ٹیپن) دوبارہ درج کریں۔,ದಯವಿಟ್ಟು ನಿಮ್ಮ 4-ಅಂಕಿಯ ವಹಿವಾಟಿನ ಪಿನ್ (ಟಿಪಿನ್) ಅನ್ನು ಮರು-ನಮೂದಿಸಿ.,ଦୟାକରି ଆପଣଙ୍କର 4-ଅଙ୍କ ବିଶିଷ୍ଟ କାରବାର ପିନ (ଟିପିନ) କୁ ପୁନ - ପ୍ରବେଶ କରନ୍ତୁ |,Sngewbha pynrung biang ia ka PIN (TPIN) jong phi kaba don 4 dak.,ਕਿਰਪਾ ਕਰਕੇ ਆਪਣਾ 4-ਅੰਕ ਦਾ ਲੈਣ-ਦੇਣ ਪਿੰਨ (ਟਿਪਿਨ) ਦੁਬਾਰਾ ਦਾਖਲ ਕਰੋ।,దయచేసి మీ 4-అంకెల లావాదేవీ పిన్ (టిపిన్)ని మళ్లీ నమోదు చేయండి.,उपकार करून तुमचो 4 अंकांचो वेव्हार पिन (टीपिन) परतून दाखयात.
reenterTpin_hint,Re-enter 4 digit TPIN,Please re-enter your 4-digit Transaction PIN (TPIN).,कृपया अपना 4-अंकीय लेनदेन पिन (टीपिन) पुनः दर्ज करें।,कृपया तुमचा 4-अंकी व्यवहार पिन (टीपिन) पुन्हा एंटर करा.,നിങ്ങളുടെ 4 അക്ക ഇടപാട് പിൻ (ടിപിന്) വീണ്ടും നൽകുക.,உங்கள் 4 இலக்க பரிவர்த்தனை பின்னை (டிபின்) மீண்டும் உள்ளிடவும்.,براہ کرم اپنا 4 ہندسوں کا ٹرانزیکشن پن (ٹی پِن) دوبارہ درج کریں۔,অনুগ্রহ করে আপনার 4-সংখ্যার লেনদেনের পিন (টিপিন) পুনরায় লিখুন৷,অনুগ্ৰহ কৰি আপোনাৰ 4 সংখ্যাৰ লেনদেনৰ পিন (টিপিন) পুনৰ প্ৰৱেশ কৰক।,કૃપા કરીને તમારો 4-અંકનો વ્યવહાર પિન (ટીપિન) ફરીથી દાખલ કરો.,مہربانی کرکے اپنا 4 عددی ٹرانزیکشن پن (ٹیپن) دوبارہ درج کریں۔,ದಯವಿಟ್ಟು ನಿಮ್ಮ 4-ಅಂಕಿಯ ವಹಿವಾಟಿನ ಪಿನ್ (ಟಿಪಿನ್) ಅನ್ನು ಮರು-ನಮೂದಿಸಿ.,ଦୟାକରି ଆପଣଙ୍କର 4-ଅଙ୍କ ବିଶିଷ୍ଟ କାରବାର ପିନ (ଟିପିନ) କୁ ପୁନ - ପ୍ରବେଶ କରନ୍ତୁ |,Sngewbha pynrung biang ia ka PIN (TPIN) jong phi kaba don 4 dak.,ਕਿਰਪਾ ਕਰਕੇ ਆਪਣਾ 4-ਅੰਕ ਦਾ ਲੈਣ-ਦੇਣ ਪਿੰਨ (ਟਿਪਿਨ) ਦੁਬਾਰਾ ਦਾਖਲ ਕਰੋ।,దయచేసి మీ 4-అంకెల లావాదేవీ పిన్ (టిపిన్)ని మళ్లీ నమోదు చేయండి.,उपकार करून तुमचो 4 अंकांचो वेव्हार पिन (टीपिन) परतून दाखयात.
activeAccount,Activate Account,Activate Account,खाता सक्रिय करें,खाते सक्रिय करा,അക്കൗണ്ട് സജീവമാക്കുക,கணக்கை செயல்படுத்தவும்,اکاؤنٹ چالو کریں,অ্যাকাউন্ট সক্রিয় করুন,একাউণ্ট সক্ৰিয় কৰক,એકાઉન્ટ સક્રિય કરો,کھاتا فعال کریں,ಖಾತೆಯನ್ನು ಸಕ್ರಿಯಗೊಳಿಸಿ,ଖାତା ସକ୍ରିୟ କରନ୍ତୁ |,Pyntreikam ia ka account,ਖਾਤਾ ਐਕਟੀਵੇਟ ਕਰੋ,ఖాతాను సక్రియం చేయండి,खातें सक्रिय करचें
activeAccount_hint,Activate Account,Activate Account,खाता सक्रिय करें,खाते सक्रिय करा,അക്കൗണ്ട് സജീവമാക്കുക,கணக்கை செயல்படுத்தவும்,اکاؤنٹ چالو کریں,অ্যাকাউন্ট সক্রিয় করুন,একাউণ্ট সক্ৰিয় কৰক,એકાઉન્ટ સક્રિય કરો,کھاتا فعال کریں,ಖಾತೆಯನ್ನು ಸಕ್ರಿಯಗೊಳಿಸಿ,ଖାତା ସକ୍ରିୟ କରନ୍ତୁ |,Pyntreikam ia ka account,ਖਾਤਾ ਐਕਟੀਵੇਟ ਕਰੋ,ఖాతాను సక్రియం చేయండి,खातें सक्रिय करचें
setMPin,Set Login PIN,Please set your Login PIN.,कृपया अपना लॉगिन पिन सेट करें.,कृपया तुमचा लॉगिन पिन सेट करा.,നിങ്ങളുടെ ലോഗിൻ പിൻ സജ്ജീകരിക്കുക.,உங்கள் உள்நுழைவு பின்னை அமைக்கவும்.,براہ کرم اپنا لاگ ان پن سیٹ کریں۔,অনুগ্রহ করে আপনার লগইন পিন সেট করুন।,অনুগ্ৰহ কৰি আপোনাৰ লগইন পিন ছেট কৰক।,કૃપા કરીને તમારો લૉગિન પિન સેટ કરો.,مہربانی کرکے اپنا لاگ ان پن سیٹ کریں۔,ದಯವಿಟ್ಟು ನಿಮ್ಮ ಲಾಗಿನ್ ಪಿನ್ ಹೊಂದಿಸಿ.,ଦୟାକରି ଆପଣଙ୍କର ଲଗଇନ୍ ପିନ ସେଟ୍ କରନ୍ତୁ |,Sngewbha buh ia u Login PIN jong phi.,ਕਿਰਪਾ ਕਰਕੇ ਆਪਣਾ ਲੌਗਇਨ ਪਿੰਨ ਸੈਟ ਕਰੋ।,దయచేసి మీ లాగిన్ పిన్‌ని సెట్ చేయండి.,उपकार करून तुमचो लॉगीन पिन सेट करचो.
setMpin_hint,Set Login PIN,Please set your Login PIN.,कृपया अपना लॉगिन पिन सेट करें.,कृपया तुमचा लॉगिन पिन सेट करा.,നിങ്ങളുടെ ലോഗിൻ പിൻ സജ്ജീകരിക്കുക.,உங்கள் உள்நுழைவு பின்னை அமைக்கவும்.,براہ کرم اپنا لاگ ان پن سیٹ کریں۔,অনুগ্রহ করে আপনার লগইন পিন সেট করুন।,অনুগ্ৰহ কৰি আপোনাৰ লগইন পিন ছেট কৰক।,કૃપા કરીને તમારો લૉગિન પિન સેટ કરો.,مہربانی کرکے اپنا لاگ ان پن سیٹ کریں۔,ದಯವಿಟ್ಟು ನಿಮ್ಮ ಲಾಗಿನ್ ಪಿನ್ ಹೊಂದಿಸಿ.,ଦୟାକରି ଆପଣଙ୍କର ଲଗଇନ୍ ପିନ ସେଟ୍ କରନ୍ତୁ |,Sngewbha buh ia u Login PIN jong phi.,ਕਿਰਪਾ ਕਰਕੇ ਆਪਣਾ ਲੌਗਇਨ ਪਿੰਨ ਸੈਟ ਕਰੋ।,దయచేసి మీ లాగిన్ పిన్‌ని సెట్ చేయండి.,उपकार करून तुमचो लॉगीन पिन सेट करचो.
setTPin,"Set 
TPIN",Please set your Transaction PIN (TPIN).,कृपया अपना लेनदेन पिन (टीपिन) सेट करें।,कृपया तुमचा व्यवहार पिन (टीपिन) सेट करा.,നിങ്ങളുടെ ഇടപാട് പിൻ (ടിപിന്) സജ്ജമാക്കുക.,உங்கள் பரிவர்த்தனை பின்னை (டிபின்) அமைக்கவும்.,براہ کرم اپنا ٹرانزیکشن پن (ٹی پِن) سیٹ کریں۔,অনুগ্রহ করে আপনার লেনদেনের পিন (টিপিন) সেট করুন।,অনুগ্ৰহ কৰি আপোনাৰ লেনদেনৰ পিন (টিপিন) ছেট কৰক।,કૃપા કરીને તમારો વ્યવહાર પિન (ટીપિન) સેટ કરો.,مہربانی کرکے اپنا ٹرانزیکشن پن (ٹیپن) سیٹ کریں۔,ದಯವಿಟ್ಟು ನಿಮ್ಮ ವಹಿವಾಟಿನ ಪಿನ್ (ಟಿಪಿನ್) ಹೊಂದಿಸಿ.,ଦୟାକରି ଆପଣଙ୍କର କାରବାର ପିନ (ଟିପିନ) ସେଟ୍ କରନ୍ତୁ |,Sngewbha set ia ka PIN jong ka jingpyniaid (TPIN).,ਕਿਰਪਾ ਕਰਕੇ ਆਪਣਾ ਲੈਣ-ਦੇਣ ਪਿੰਨ (ਟਿਪਿਨ) ਸੈਟ ਕਰੋ।,దయచేసి మీ లావాదేవీ పిన్ (టిపిన్)ని సెట్ చేయండి.,उपकार करून तुमचो वेव्हार पिन (टीपिन) सेट करचो.
setTPin_hint,Set TPIN,Please set your Transaction PIN (TPIN).,कृपया अपना लेनदेन पिन (टीपिन) सेट करें।,कृपया तुमचा व्यवहार पिन (टीपिन) सेट करा.,നിങ്ങളുടെ ഇടപാട് പിൻ (ടിപിന്) സജ്ജമാക്കുക.,உங்கள் பரிவர்த்தனை பின்னை (டிபின்) அமைக்கவும்.,براہ کرم اپنا ٹرانزیکشن پن (ٹی پِن) سیٹ کریں۔,অনুগ্রহ করে আপনার লেনদেনের পিন (টিপিন) সেট করুন।,অনুগ্ৰহ কৰি আপোনাৰ লেনদেনৰ পিন (টিপিন) ছেট কৰক।,કૃપા કરીને તમારો વ્યવહાર પિન (ટીપિન) સેટ કરો.,مہربانی کرکے اپنا ٹرانزیکشن پن (ٹیپن) سیٹ کریں۔,ದಯವಿಟ್ಟು ನಿಮ್ಮ ವಹಿವಾಟಿನ ಪಿನ್ (ಟಿಪಿನ್) ಹೊಂದಿಸಿ.,ଦୟାକରି ଆପଣଙ୍କର କାରବାର ପିନ (ଟିପିନ) ସେଟ୍ କରନ୍ତୁ |,Sngewbha set ia ka PIN jong ka jingpyniaid (TPIN).,ਕਿਰਪਾ ਕਰਕੇ ਆਪਣਾ ਲੈਣ-ਦੇਣ ਪਿੰਨ (ਟਿਪਿਨ) ਸੈਟ ਕਰੋ।,దయచేసి మీ లావాదేవీ పిన్ (టిపిన్)ని సెట్ చేయండి.,उपकार करून तुमचो वेव्हार पिन (टीपिन) सेट करचो.
registerVyom,Register for Vyom,Register for the VYOM Mobile App.,व्योम मोबाइल ऐप के लिए पंजीकरण करें।,व्योम मोबाईल ॲपसाठी नोंदणी करा.,വ്യോം മൊബൈൽ ആപ്പിനായി രജിസ്റ്റർ ചെയ്യുക.,வ்யோம் மொபைல் பயன்பாட்டிற்கு பதிவு செய்யவும்.,ویوم موبائل ایپ کے لیے رجسٹر ہوں۔,ব্যোম মোবাইল অ্যাপের জন্য নিবন্ধন করুন।,ব্যোম মোবাইল এপৰ বাবে পঞ্জীয়ন কৰক।,વ્યોમ મોબાઇલ એપ્લિકેશન માટે નોંધણી કરો.,ویوم موبائل ایپ کے لئے رجسٹر کریں۔,ವ್ಯೋಮ್ ಮೊಬೈಲ್ ಅಪ್ಲಿಕೇಶನ್‌ಗಾಗಿ ನೋಂದಾಯಿಸಿ.,ବ୍ୟୋମ ମୋବାଇଲ୍ ଆପ୍ ପାଇଁ ପଞ୍ଜିକରଣ କର |,Register ia ka VYOM Mobile App.,ਵਿਓਮ ਮੋਬਾਈਲ ਐਪ ਲਈ ਰਜਿਸਟਰ ਕਰੋ।,వ్యోమ్ మొబైల్ యాప్ కోసం నమోదు చేసుకోండి.,व्योम मोबायल अपा खातीर नोंदणी करात.
registerVyom_hint,Register for Vyom,Register for the VYOM Mobile App.,व्योम मोबाइल ऐप के लिए पंजीकरण करें।,व्योम मोबाईल ॲपसाठी नोंदणी करा.,വ്യോം മൊബൈൽ ആപ്പിനായി രജിസ്റ്റർ ചെയ്യുക.,வ்யோம் மொபைல் பயன்பாட்டிற்கு பதிவு செய்யவும்.,ویوم موبائل ایپ کے لیے رجسٹر ہوں۔,ব্যোম মোবাইল অ্যাপের জন্য নিবন্ধন করুন।,ব্যোম মোবাইল এপৰ বাবে পঞ্জীয়ন কৰক।,વ્યોમ મોબાઇલ એપ્લિકેશન માટે નોંધણી કરો.,ویوم موبائل ایپ کے لئے رجسٹر کریں۔,ವ್ಯೋಮ್ ಮೊಬೈಲ್ ಅಪ್ಲಿಕೇಶನ್‌ಗಾಗಿ ನೋಂದಾಯಿಸಿ.,ବ୍ୟୋମ ମୋବାଇଲ୍ ଆପ୍ ପାଇଁ ପଞ୍ଜିକରଣ କର |,Register ia ka VYOM Mobile App.,ਵਿਓਮ ਮੋਬਾਈਲ ਐਪ ਲਈ ਰਜਿਸਟਰ ਕਰੋ।,వ్యోమ్ మొబైల్ యాప్ కోసం నమోదు చేసుకోండి.,व्योम मोबायल अपा खातीर नोंदणी करात.
authenticate_details,"Authenticate
Details",Authenticate Details,विवरण प्रमाणित करें,तपशील प्रमाणित करा,വിശദാംശങ്ങൾ ആധികാരികമാക്കുക,விவரங்களை அங்கீகரிக்கவும்,تفصیلات کی تصدیق کریں۔,বিশদ প্রমাণীকরণ,বিৱৰণ প্ৰমাণীকৰণ কৰক,પ્રમાણિત વિગતો,تفصیلات کی تصدیق کریں,ವಿವರಗಳನ್ನು ದೃಢೀಕರಿಸಿ,ସବିଶେଷ ତଥ୍ୟ ପ୍ରାମାଣିକରଣ କରନ୍ତୁ |,Pynshisha ia ki jingtip ba bniah,ਪ੍ਰਮਾਣਿਤ ਵੇਰਵੇ,వివరాలను ప్రమాణీకరించండి,तपशील प्रमाणीत करप
authenticate_details_hint,Authenticate Details,Authenticate Details,विवरण प्रमाणित करें,तपशील प्रमाणित करा,വിശദാംശങ്ങൾ ആധികാരികമാക്കുക,விவரங்களை அங்கீகரிக்கவும்,تفصیلات کی تصدیق کریں۔,বিশদ প্রমাণীকরণ,বিৱৰণ প্ৰমাণীকৰণ কৰক,પ્રમાણિત વિગતો,تفصیلات کی تصدیق کریں,ವಿವರಗಳನ್ನು ದೃಢೀಕರಿಸಿ,ସବିଶେଷ ତଥ୍ୟ ପ୍ରାମାଣିକରଣ କରନ୍ତୁ |,Pynshisha ia ki jingtip ba bniah,ਪ੍ਰਮਾਣਿਤ ਵੇਰਵੇ,వివరాలను ప్రమాణీకరించండి,तपशील प्रमाणीत करप
reset_login_pin,"Reset
Login PIN",Please reset your Login PIN.,कृपया अपना लॉगिन पिन रीसेट करें।,कृपया तुमचा लॉगिन पिन रीसेट करा.,നിങ്ങളുടെ ലോഗിൻ പിൻ റീസെറ്റ് ചെയ്യുക.,உங்கள் உள்நுழைவு பின்னை மீட்டமைக்கவும்.,براہ کرم اپنا لاگ ان پن دوبارہ ترتیب دیں۔,অনুগ্রহ করে আপনার লগইন পিন রিসেট করুন।,অনুগ্ৰহ কৰি আপোনাৰ লগইন পিন পুনৰায় ছেট কৰক।,કૃપા કરીને તમારો લોગિન પિન રીસેટ કરો.,مہربانی کرکے اپنا لاگ ان پن ری سیٹ کریں۔,ದಯವಿಟ್ಟು ನಿಮ್ಮ ಲಾಗಿನ್ ಪಿನ್ ಅನ್ನು ಮರುಹೊಂದಿಸಿ.,ଦୟାକରି ଆପଣଙ୍କର ଲଗଇନ୍ ପିନ ପୁନ res ସେଟ୍ କରନ୍ତୁ |,Sngewbha pynthymmai ia ka Login PIN jong phi.,ਕਿਰਪਾ ਕਰਕੇ ਆਪਣਾ ਲੌਗਇਨ ਪਿੰਨ ਰੀਸੈਟ ਕਰੋ।,దయచేసి మీ లాగిన్ పిన్‌ని రీసెట్ చేయండి.,उपकार करून तुमचो लॉगीन पिन रीसेट करचो.
reset_login_pin_hint,Reset Login PIN,Please reset your Login PIN.,कृपया अपना लॉगिन पिन रीसेट करें।,कृपया तुमचा लॉगिन पिन रीसेट करा.,നിങ്ങളുടെ ലോഗിൻ പിൻ റീസെറ്റ് ചെയ്യുക.,உங்கள் உள்நுழைவு பின்னை மீட்டமைக்கவும்.,براہ کرم اپنا لاگ ان پن دوبارہ ترتیب دیں۔,অনুগ্রহ করে আপনার লগইন পিন রিসেট করুন।,অনুগ্ৰহ কৰি আপোনাৰ লগইন পিন পুনৰায় ছেট কৰক।,કૃપા કરીને તમારો લોગિન પિન રીસેટ કરો.,مہربانی کرکے اپنا لاگ ان پن ری سیٹ کریں۔,ದಯವಿಟ್ಟು ನಿಮ್ಮ ಲಾಗಿನ್ ಪಿನ್ ಅನ್ನು ಮರುಹೊಂದಿಸಿ.,ଦୟାକରି ଆପଣଙ୍କର ଲଗଇନ୍ ପିନ ପୁନ res ସେଟ୍ କରନ୍ତୁ |,Sngewbha pynthymmai ia ka Login PIN jong phi.,ਕਿਰਪਾ ਕਰਕੇ ਆਪਣਾ ਲੌਗਇਨ ਪਿੰਨ ਰੀਸੈਟ ਕਰੋ।,దయచేసి మీ లాగిన్ పిన్‌ని రీసెట్ చేయండి.,उपकार करून तुमचो लॉगीन पिन रीसेट करचो.
hello,Hello!,Welcome!,स्वागत है!,स्वागत आहे!,സ്വാഗതം!,வருக!,خوش آمدید!,স্বাগতম!,স্বাগতম!,સ્વાગત છે!,خوش آمدید!,ಸ್ವಾಗತ!,ସ୍ୱାଗତ!,Pdiang sngewbha!,ਜੀ ਆਇਆਂ ਨੂੰ!,స్వాగతం!,येवकार!
hello_hint,Hello!,Welcome!,स्वागत है!,स्वागत आहे!,സ്വാഗതം!,வருக!,خوش آمدید!,স্বাগতম!,স্বাগতম!,સ્વાગત છે!,خوش آمدید!,ಸ್ವಾಗತ!,ସ୍ୱାଗତ!,Pdiang sngewbha!,ਜੀ ਆਇਆਂ ਨੂੰ!,స్వాగతం!,येवकार!
letStarted,Let's get started,Let's get started...,आएँ शुरू करें...,चला सुरुवात करूया...,നമുക്ക് തുടങ്ങാം...,தொடங்குவோம்...,آئیے شروع کرتے ہیں...,চলুন শুরু করা যাক...,আৰম্ভ কৰোঁ আহক...,ચાલો શરુ કરીએ...,آؤ شروع کریں...,ಆರಂಭಿಸೋಣ...,ଚାଲ ଆରମ୍ଭ କରିବା ...,To ngin sdang noh...,ਚਲੋ ਸ਼ੁਰੂ ਕਰੀਏ...,ప్రారంభిద్దాం...,सुरू करूंया...
letStarted_hint,Let's get started,Let's get started...,आएँ शुरू करें...,चला सुरुवात करूया...,നമുക്ക് തുടങ്ങാം...,தொடங்குவோம்...,آئیے شروع کرتے ہیں...,চলুন শুরু করা যাক...,আৰম্ভ কৰোঁ আহক...,ચાલો શરુ કરીએ...,آؤ شروع کریں...,ಆರಂಭಿಸೋಣ...,ଚାଲ ଆରମ୍ଭ କରିବା ...,To ngin sdang noh...,ਚਲੋ ਸ਼ੁਰੂ ਕਰੀਏ...,ప్రారంభిద్దాం...,सुरू करूंया...
forgot_mPin_title,Forgot Login PIN,Forgot Login PIN?,लॉगिन पिन भूल गए?,लॉगिन पिन विसरलात?,ലോഗിൻ പിൻ മറന്നോ?,உள்நுழைவு பின்னை மறந்துவிட்டீர்களா?,لاگ ان پن بھول گئے؟,লগইন পিন ভুলে গেছেন?,লগইন পিন পাহৰিলেনে?,લોગિન પિન ભૂલી ગયા છો?,لاگ ان پن بھول گئے؟,ಲಾಗಿನ್ ಪಿನ್ ಮರೆತಿರುವಿರಾ?,ଲଗଇନ୍ ପିନ୍ ଭୁଲିଗଲେ କି?,La klet ia ka PIN ban rung?,ਲੌਗਇਨ ਪਿੰਨ ਭੁੱਲ ਗਏ ਹੋ?,లాగిన్ పిన్ మర్చిపోయారా?,लॉगिन पिन विसरलो?
forgot_mPin_title_hint,Forgot Login PIN,Forgot Login PIN?,लॉगिन पिन भूल गए?,लॉगिन पिन विसरलात?,ലോഗിൻ പിൻ മറന്നോ?,உள்நுழைவு பின்னை மறந்துவிட்டீர்களா?,لاگ ان پن بھول گئے؟,লগইন পিন ভুলে গেছেন?,লগইন পিন পাহৰিলেনে?,લોગિન પિન ભૂલી ગયા છો?,لاگ ان پن بھول گئے؟,ಲಾಗಿನ್ ಪಿನ್ ಮರೆತಿರುವಿರಾ?,ଲଗଇନ୍ ପିନ୍ ଭୁଲିଗଲେ କି?,La klet ia ka PIN ban rung?,ਲੌਗਇਨ ਪਿੰਨ ਭੁੱਲ ਗਏ ਹੋ?,లాగిన్ పిన్ మర్చిపోయారా?,लॉगिन पिन विसरलो?
please_choose_authentication_method,Please choose an authentication method.,Please choose an authentication method.,कृपया एक प्रमाणीकरण विधि चुनें.,कृपया प्रमाणीकरण पद्धत निवडा.,ഒരു പ്രാമാണീകരണ രീതി തിരഞ്ഞെടുക്കുക.,அங்கீகார முறையைத் தேர்ந்தெடுக்கவும்.,براہ کرم تصدیق کا طریقہ منتخب کریں۔,একটি প্রমাণীকরণ পদ্ধতি নির্বাচন করুন.,অনুগ্ৰহ কৰি এটা প্ৰমাণীকৰণ পদ্ধতি নিৰ্ব্বাচন কৰক।,કૃપા કરીને પ્રમાણીકરણ પદ્ધતિ પસંદ કરો.,مہربانی کرکے ایک تصدیقی طریقہ چُنیں۔,ದಯವಿಟ್ಟು ದೃಢೀಕರಣ ವಿಧಾನವನ್ನು ಆಯ್ಕೆಮಾಡಿ.,ଦୟାକରି ଏକ ପ୍ରାମାଣିକିକରଣ ପଦ୍ଧତି ବାଛନ୍ତୁ |,Sngewbha jied ia ka rukom pynshisha.,ਕਿਰਪਾ ਕਰਕੇ ਇੱਕ ਪ੍ਰਮਾਣਿਕਤਾ ਵਿਧੀ ਚੁਣੋ।,దయచేసి ప్రమాణీకరణ పద్ధతిని ఎంచుకోండి.,उपकार करून प्रमाणीकरण पद्दत निवडात.
